Entidad,,Bono A2,,,,
,,Nº,,,Importe,
Bear, Stearns International Limited,2.300,,,230.000.000,,
Calyon, Sucursal en España,2.300,,,230.000.000,,
Banco Santander Central Hispano, S.A.,1.150,,,115.000.000,,
TOTAL,5.750,,,575.000.000,,
