Entidad,,Bono A1,,,,
,,Nº,,,Importe,
Bear, Stearns International Limited,640,,,64.000.000,,
Calyon, Sucursal en España,740,,,74.000.000,,
Banco Santander Central Hispano, S.A.,370,,,37.000.000,,
EBN Banco,100,,,10.000.000,,
TOTAL,1.850,,,185.000.000,,
