Entidad,,Bono A3,,,,
,,Nº,,,Importe,
Bear, Stearns International Limited,800,,,80.000.000,,
Calyon, Sucursal en España,800,,,80.000.000,,
Banco Santander Central Hispano, S.A.,400,,,40.000.000,,
TOTAL,2.000,,,200.000.000,,
