,,,,Fitch,,,S&P,
,Serie A1,,AAA,,,AAA,,
,Serie A2,,AAA,,,AAA,,
,Serie A3,,AAA,,,AAA,,
,Valores NAS-IO,,AAA,,,AAA,,
,Serie B,,A+,,,A,,
,Serie C,,A-,,,BBB,,
,Serie D,,BB+,,,BB-,,
