Director,Individual
Appointee,Appointed by:,Date of
Appointment
Mr. Francisco Javier
Soriano Arosa
(Chairman),-,EBN Banco de Negocios, S.A.,28/11/2002
Caja de Ahorros Municipal
de Burgos,Mr. Horacio
Mesonero Morales,Caja de Ahorros Municipal de
Burgos,31/10/2003
Mr. Francisco Javier Sáiz
Alonso,-,Caja de Ahorros de Castilla La
Mancha,28/11/2002
Mr. Víctor Iglesias Ruiz,-,Caja de Ahorros y Monte de
Piedad de Zaragoza, Aragón y
Rioja (Ibercaja),19/01/2004
Caja de Ahorros del
Mediterráneo,Mr. Eleuterio Jover
Irles,Caja de Ahorros del
Mediterráneo,05/10/2000
Mr. Gumersindo Ruiz
Bravo de Mansilla,-,Unicorp (Unicaja),28/11/2002
Mr. José Carlos Contreras
Gómez,-,Caja de Ahorros y Monte de
Piedad de Madrid,28/11/2002
Bear Stearns Spanish
Securitization Corporation,Mr. Jesús Río
Cortés,Bear, Stearns Spanish
Securitization Corporation,20/09/2005*
