Ratings given by,,Ratings given by
S&P,S&P,Fitch
,,year.
A-3,F-3,Adequate capacity for timely payment of financial
commitments with a maturity not exceeding one
year.
B,B,Lack the characteristics of any of the previous
categories.
C,C,Short term debt rating assigned to debt with
doubtful payment capacity
D,D,“D”-rated debt is in default. Used when interest
payment or principal has not been processed on its
due date, even if a grace period has yet to elapse.
