,Percentage,Amount (nominal and
notional, in the event
of the NAS-IO
Securities),Result
Series A1,0.09%,361,400,000 euros,325,260 euros
Series A2,0.09%,97,000,000 euros,87,300 euros
NAS-IO
Securities,0.09%,97,000,000 euros,87,300 euros
Series B,0.30%,13,500,000 euros,40,500 euros
Series C,0.30%,8,100,000 euros,24,300 euros
Series D,0.50%,5,000,000 euros,25,000 euros
