,Equity,,,31/12/2004,,,31/12/2003,
Capital,,,903,000.00,,,903,000.00,,
Reserves,,,2,879,787.52,,,2,146,751.51,,
Legal Reserve,,,180,600.00,,,180,600.00,,
Voluntary Reserves,,,1,426,151.51,,,1,107,137.92,,
Profit and Loss,,,,,,,,
Profit for the year,,,1,273,036.01,,,859,013.59,,
TOTAL,,,3,782,787.52,,,3,049,751.51,,
