,Date of,,Bond Issue
Securitization Fund,,Initial Bond Issue,
,Incorporation,,Balance 30/09/2005
,,,
,,,
CÉDULAS TDA 1, FONDO DE TITULIZACIÓN DE,12-Jun-03,€1,750,000,000,€1,750,000,000
ACTIVOS,,,
CÉDULAS TDA 2, FONDO DE TITULIZACIÓN DE,13-Nov-03,€2,000,000,000,€2,000,000,000
ACTIVOS,,,
CÉDULAS TDA 3, FONDO DE TITULIZACIÓN DE,25-Feb-04,€2,000,000,000,€2,000,000,000
ACTIVOS,,,
CÉDULAS TDA 4, FONDO DE TITULIZACIÓN DE,10-Jun-04,€1,500,000,000,€1,500,000,000
ACTIVOS,,,
CÉDULAS TDA 5, FONDO DE TITULIZACIÓN DE,24-Nov-04,€1,500,000,000,€1,500,000,000
ACTIVOS,,,
CÉDULAS TDA 6, FONDO DE TITULIZACIÓN DE,18-May-05,€3,000,000,000,€1,500,000,000
ACTIVOS,,,
CÉDULAS TDA 7, FONDO DE TITULIZACIÓN DE,10-Jun-05,€2,000,000,000,€2,000,000,000
ACTIVOS,,,
,,,
FONDO DE TITULIZACION DE ACTIVOS RESULTANTES,25-Apr-96,€4,297,236,546,€1,005,973,597
DE LA MORATORIA NUCLEAR,,,
CAJA SAN FERNANDO CDO I, FONDO DE
TITULIZACIÓN DE ACTIVOS,17-Feb-05,$180,150,000 +
€128,200,000,$172,301,891.2
€124,495,424
,,,
,,,
,,,
,,$180,150,000 +,$172,301,891.2+
TOTAL,,€50,032,022,127,€34,417,380,496
