,Date of,,Bond Issue
Securitization Fund,,Initial Bond Issue,
,Incorporation,,Balance 30/09/2005
,,,
TDA 4, FONDO DE TITULIZACIÓN HIPOTECARIA,22-Apr-98,€150,253,026,€41,141,416
TDA 5, FONDO DE TITULIZACIÓN HIPOTECARIA,16-Oct-98,€1,171,973,604,€266,717,646
TDA 6, FONDO DE TITULIZACIÓN HIPOTECARIA,20-Jan-99,€351,500,000,€99,894,042
TDA 7, FONDO DE TITULIZACIÓN HIPOTECARIA,12-Mar-99,€1,051,700,000,€368,524,858
TDA 8, FONDO DE TITULIZACIÓN HIPOTECARIA,9-Apr-99,€150,200,000,€57,855,161
TDA 9, FONDO DE TITULIZACIÓN HIPOTECARIA,12-May-99,€332,400,000,€115,457,074
TDA 10, FONDO DE TITULIZACIÓN HIPOTECARIA,21-Jul-99,€240,500,000,€73,308,589
TDA 11, FONDO DE TITULIZACIÓN HIPOTECARIA,24-Jan-00,€660,600,000,€256,343,479
TDA 12, FONDO DE TITULIZACIÓN HIPOTECARIA,26-Jun-00,€513,900,000,€219,457,451
TDA 13-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,5-Dec-00,€389,500,000,€182,950,750
TDA 14-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,20-Jun-01,€601,100,000,€310,183,412
TDA 15-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,4-Nov-02,€450,900,000,€290,575,486
TDA 16-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,26-May-03,€532,000,000,€331,243,734
TDA 17-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,24-Oct-03,€455,000,000,€327,733,386
TDA 18-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,14-Nov-03,€421,000,000,€299,206,826
TDA 19-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,27-Feb-04,€600,000,000,€453,151,672
TDA 20-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,25-Jun-04,€421,000,000,€365,436,736
TDA 21-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,23-Jul-04,€775,000,000,€630,909,920
TDA 22-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,1-Dec-04,€530,000,000,€454,407,611
TDA 23, FONDO DE TITULIZACIÓN DE ACTIVOS,18-Mar-05,€860,000,000,€792,350,054
TDA PASTOR 1, FONDO DE TITULIZACIÓN DE ACTIVOS,25-Feb-03,€494,600,000,€328,717,352
TDA CAM 1, FONDO DE TITULIZACIÓN DE ACTIVOS,13-Mar-03,€1,000,000,000,€678,002,706
TDA CAM 2, FONDO DE TITULIZACIÓN DE ACTIVOS,27-Jun-03,€1,100,000,000,€785,291,760
TDA CAM 3, FONDO DE TITULIZACIÓN DE ACTIVOS,16-Jan-04,€1,200,000,000,€935,153,733
TDA CAM 4, FONDO DE TITULIZACIÓN DE ACTIVOS,9-Mar-05,€2,000,000,000,€1,843,424,614
TDA IBERCAJA 1, FONDO DE TITULIZACIÓN DE,8-Oct-03,€600,000,000,€471,055,598
ACTIVOS,,,
TDA CAJAMAR 2, FONDO DE TITULIZACIÓN DE
ACTIVOS,18-May-05,€1,000,000,000,€952,591,826
TDA CAM 5, FONDO DE TITULIZACIÓN DE ACTIVOS,5-Oct-05,€2,000,000,000,€2,000,000,000
TDA IBERCAJA 2, FONDO DE TITULIZACIÓN DE,13-Oct-05,€904,500,000,€904,500,000
