,,,,Fitch,,,S&P,
,Series A1,,AAA,,,AAA,,
,Series A2,,AAA,,,AAA,,
,NAS-IO securities,,AAA,,,AAA,,
,Series B,,A,,,A-,,
,Series C,,BBB,,,BBB,,
,Series D,,BB+,,,BB,,
