LEVELS OF
AUTHORIZATION,RISK COMMITTEE
From €0 to €200,000,Two Risk Analysts
From €0 to €30,000,Risk Analyst and Risk Manager or
Risk Analyst and Deputy Director General or
Risk Manager and Deputy Director General
From €0 to 450,000€,Risk Analyst and Deputy Director General or
Risk Manager and Deputy Director General
From €450,000,Caja San Fernando Risks Division
