9. Recuperaciones en el ejercicio,N.D.,N.D.,N.D.,5.459,5.711
10. Paso a cuentas suspensivas,N.D.,N.D.,N.D.,N.D.,N.D.
11. Importe de amortizaciones anticipadas,N.D.,N.D.,N.D.,2.928,11.437
12. Tasa de amortización anticipada **,N.D.,N.D.,N.D.,0,09%,0,29%
