Entidad,Valor IO-1,,,,,Valor IO-2,,
,Nº,,Importe,,,Nº,Importe,
Bear Stearns,572,,2.476.509,,488,,1.446.482,
TOTAL,572,,2.476.509,,488,,1.446.482,
