,,,,
Bonos Clase 2,,5% TAA,10% TAA,15% TAA
,,,,
,Vida media (años),6,34
2,384%,3,95
2,384%,2,84
2,384%
Bono A2a,,,,
,TIR,,,
,,,,
,Vida media (años),19,19
2,467%,13,66
2,467%,10,21
2,467%
Bono A2b*,,,,
,TIR,,,
,,,,
