,,,,
Escenarios,,5% TAA,10% TAA,15% TAA
,,,,
,Duración (años),1,57
3,484%,1,57
3,484%,1,57
3,484%
Valor IO-1,,,,
,TIR,,,
,,,,
,Duración (años),1,10
3,442%,1,10
3,442%,1,10
3,442%
Valor IO-2,,,,
,TIR,,,
,,,,
