,Tipos de interés,
,,TIR
Clase 1,nominales,
,,
Bono A1a,2,321%,2,374%
Bono A1b*,2,381%,2,436%
Valor IO-1,1,5% sobre Nocional,3,484%
Bono B1,2,541%,2,601%
Bono C1,2,921%,2,995%
Bono D1,5,671%,5,875%
