TDA 22-MIXTO, FONDO DE TITULIZACION DE ACTIVOS,,,,
Variaciones en las hipótesis asumidas para el cuadro del Servicio Financiero del Fondo,,,,
EURIBOR 2,171%,,,,
Escenario,,,,
Bonos Clase 1,,5% TAA,10% TAA,15% TAA
,,,,
,Vida media (años),5,97
2,374%,4,04
2,374%,2,99
2,374%
Bono A1a,,,,
,TIR,,,
,,,,
,Vida media (años),17,63
2,436%,13,32
2,436%,10,23
2,436%
Bono A1b*,,,,
,TIR,,,
,,,,
,Vida media (años),13,69
2,601%,10,03
2,601%,7,50
2,601%
Bono B1,,,,
,TIR,,,
,,,,
,Vida media (años),13,69
2,995%,10,03
2,995%,7,50
2,995%
Bono C1,,,,
,TIR,,,
,,,,
,Vida media (años),13,69
5,875%,10,03
5,875%,7,50
5,874%
Bono D1,,,,
,TIR,,,
,,,,
