Standard &
Poor’s,Significado
AAA,Capacidad de pago de intereses y devolución del
principal enormemente alta.
AA,Capacidad muy fuerte para pagar intereses y
devolver principal
A,Fuerte capacidad de pagar interés y devolver el
principal. Los factores de protección se consideran
adecuados pero pueden ser susceptibles de
empeorar en el futuro.
