,Serie B,
Entidad,,
,Nº,Importe
,,
CALYON Sucursal en España,110,11.000.000
Caja de Ahorros y Monte de Piedad de Zaragoza,
Aragón y Rioja (IBERCAJA),50,5.000.000
Caja de Ahorros de Valencia, Castellón y
Alicante, (BANCAJA),0,0
Dexia Bank,0,0
EBN Banco de Negocios S.A.,0,0
J.P. Morgan Securities Ltd.,165,16.500.000
Total,325,32.500.000
