,Rating,,,Latest Review,,Long Term,Short Term,Outlook
,Agency,,,Date,,,,
Fitch,,,December 14,
2016,,,A,F1,Stable
Moody's,,,October 31,
2016,,,A2,P-1,Stable
Standard &
Poor’s,,,September 23,
2016,,,A,A-1,Stable
