Cartera de préstamos hipotecarios al día 31.12.2006
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
4,75 - 4,99,1.840 8,59,,229.585.709,11 7,42,,4,84,
5,00 - 5,24,585 2,73,,68.513.290,84 2,21,,5,09,
5,25 - 5,49,129 0,60,,14.673.298,64 0,47,,5,32,
5,50 - 5,74,17 0,08,,1.622.745,92 0,05,,5,54,
Total 21.417 100,00 3.095.525.633,65 100,00,,,,,,
Media ponderada: 4,14 %
Media simple: 4,17 %
Mínimo: 2,41 %
Máximo: 5.57 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,,,,,,
,Media ponderada:,,,,4,14,%
,Media simple:,,,,4,17,%
,Mínimo:,,,,2,41,%
,Máximo:,,,,5.57,%
