FLUJOS DE CAJA DEL FONDO,
(IMPORTES EN EUROS)
TACP = 11,00%,
27-abr-05 1.678.100.000,00Emisión de los Bonos A, B, C, D y E
5.150.000,00Préstamo Gastos Iniciales,
,COBROS
Saldo Saldo Fecha
Fondo Vivo
Reserva Préstamos,Principal Intereses Intereses Intereses Reducción Total
Amortizado Préstamos de la Reinversión Fondo
Préstamos Hipotecarios Permuta Reserva
(1) (2) (3),(4) (5) (6) (7) (8) (9)
TOTALES:,1.650.000.000,00 315.715.064,81 0,00 9.772.516,64 30.100.000,00 2.005.587.581,45
28.100.000,00 1.590.276.740,83 26-jul-2005
28.100.000,00 1.533.663.112,45 25-oct-2005
28.100.000,00 1.478.954.379,45 25-ene-2006
28.100.000,00 1.426.909.783,90 25-abr-2006
28.100.000,00 1.376.171.571,49 25-jul-2006
28.100.000,00 1.326.613.112,30 25-oct-2006
28.100.000,00 1.278.740.938,70 25-ene-2007
28.100.000,00 1.233.200.911,00 25-abr-2007
28.100.000,00 1.188.806.183,82 25-jul-2007
28.100.000,00 1.145.466.359,05 25-oct-2007
28.100.000,00 1.103.613.374,96 25-ene-2008
28.100.000,00 1.063.455.142,74 25-abr-2008
28.100.000,00 1.024.666.877,09 25-jul-2008
28.100.000,00 986.838.908,97 27-oct-2008
28.100.000,00 950.285.816,57 26-ene-2009
28.100.000,00 915.540.207,71 27-abr-2009
28.100.000,00 881.666.143,15 27-jul-2009
28.100.000,00 848.646.828,73 26-oct-2009
27.769.572,09 816.752.120,16 25-ene-2010
26.738.850,20 786.436.770,67 26-abr-2010
25.734.394,19 756.893.946,65 26-jul-2010
24.755.805,57 728.111.928,52 25-oct-2010
23.810.853,13 700.319.209,67 25-ene-2011
22.912.593,09 673.899.796,77 25-abr-2011
22.037.531,19 648.162.682,18 25-jul-2011
21.185.497,91 623.102.879,62 25-oct-2011
20.362.937,20 598.909.917,56 25-ene-2012
19.574.768,10 575.728.473,61 25-abr-2012
18.813.681,00 553.343.558,88 25-jul-2012
18.072.773,47 531.552.160,91 25-oct-2012
17.357.790,14 510.523.239,34 25-ene-2013
16.678.266,24 490.537.242,43 25-abr-2013
16.016.940,39 471.086.482,13 25-jul-2013
15.373.438,38 452.159.952,37 25-oct-2013
14.752.662,54 433.901.839,53 27-ene-2014
14.162.910,81 416.556.200,24 25-abr-2014
14.025.000,00 399.704.810,92 25-jul-2014
14.025.000,00 383.361.623,51 27-oct-2014
14.025.000,00 367.617.622,10 26-ene-2015
14.025.000,00 352.655.152,90 27-abr-2015
14.025.000,00 338.106.313,47 27-jul-2015
14.025.000,00 323.962.418,07 26-oct-2015
14.025.000,00 310.325.089,21 25-ene-2016
14.025.000,00 297.266.366,07 25-abr-2016
14.025.000,00 284.679.530,04 25-jul-2016
14.025.000,00 272.462.301,16 25-oct-2016
14.025.000,00 260.694.719,26 25-ene-2017
14.025.000,00 249.507.956,07 25-abr-2017
14.025.000,00 238.646.663,76 25-jul-2017
14.025.000,00 228.098.974,10 25-oct-2017
14.025.000,00 217.938.575,77 25-ene-2018
14.025.000,00 208.278.573,64 25-abr-2018
14.025.000,00 198.906.923,57 25-jul-2018
14.025.000,00 189.818.266,37 25-oct-2018
14.025.000,00 181.075.246,53 25-ene-2019
14.025.000,00 172.778.620,95 25-abr-2019
0,00 0,00 25-jul-2019,59.723.259,17 13.271.821,95 0,00 318.099,65 2.000.000,00 75.313.180,78
56.613.628,37 12.772.623,66 0,00 279.446,72 0,00 69.665.698,75
54.708.733,00 12.331.064,08 0,00 277.244,07 0,00 67.317.041,15
52.044.595,55 11.903.287,97 0,00 265.638,99 0,00 64.213.522,50
50.738.212,42 11.474.774,33 0,00 265.446,14 0,00 62.478.432,88
49.558.459,18 11.081.771,09 0,00 265.137,96 0,00 60.905.368,23
47.872.173,60 10.677.047,72 0,00 261.635,19 0,00 58.810.856,51
45.540.027,70 10.301.400,96 0,00 251.067,08 0,00 56.092.495,73
44.394.727,18 9.925.865,14 0,00 251.097,43 0,00 54.571.689,76
43.339.824,77 9.572.858,37 0,00 250.973,30 0,00 53.163.656,44
41.852.984,09 9.218.283,09 0,00 247.891,40 0,00 51.319.158,57
40.158.232,21 8.887.711,08 0,00 241.547,85 0,00 49.287.491,14
38.788.265,66 8.558.784,17 0,00 238.421,77 0,00 47.585.471,59
37.827.968,12 8.249.214,39 0,00 247.277,49 0,00 46.324.460,01
36.553.092,40 7.940.656,19 0,00 236.776,49 0,00 44.730.525,08
34.745.608,86 7.652.108,27 0,00 233.617,93 0,00 42.631.335,06
33.874.064,56 7.367.083,59 0,00 232.233,33 0,00 41.473.381,48
33.019.314,42 7.096.638,54 0,00 228.231,28 0,00 40.344.184,24
31.894.708,58 6.827.456,94 0,00 223.523,57 330.427,91 39.276.117,00
30.315.349,49 6.575.567,06 0,00 219.077,95 1.030.721,88 38.140.716,38
29.542.824,02 6.327.046,62 0,00 212.315,10 1.004.456,02 37.086.641,77
28.782.018,13 6.091.109,95 0,00 203.411,54 978.588,62 36.055.128,24
27.792.718,85 5.856.613,52 0,00 197.544,07 944.952,44 34.791.828,89
26.419.412,90 5.636.990,94 0,00 185.314,04 898.260,04 33.139.977,92
25.737.114,59 5.420.548,91 0,00 180.873,18 875.061,90 32.213.598,57
25.059.802,56 5.214.939,48 0,00 176.257,21 852.033,29 31.303.032,54
24.192.962,06 5.010.888,58 0,00 169.807,20 822.560,71 30.196.218,55
23.181.443,94 4.819.094,12 0,00 161.336,90 788.169,09 28.950.044,05
22.384.914,73 4.629.854,19 0,00 155.248,82 761.087,10 27.931.104,85
21.791.397,98 4.450.940,40 0,00 151.198,94 740.907,53 27.134.444,85
21.028.921,56 4.273.621,64 0,00 145.578,26 714.983,33 26.163.104,80
19.985.996,91 4.107.257,18 0,00 136.404,53 679.523,89 24.909.182,52
19.450.760,31 3.943.771,73 0,00 132.965,96 661.325,85 24.188.823,84
18.926.529,76 3.788.238,70 0,00 129.407,14 643.502,01 23.487.677,61
18.258.112,84 3.634.338,80 0,00 128.957,59 620.775,84 22.642.185,06
17.345.639,29 3.489.806,16 0,00 114.829,41 589.751,74 21.540.026,59
16.851.389,32 3.348.089,24 0,00 113.532,09 137.910,81 20.450.921,46
16.343.187,41 3.213.389,39 0,00 116.722,81 0,00 19.673.299,60
15.744.001,42 3.080.665,85 0,00 111.773,99 0,00 18.936.441,26
