Cartera de préstamos hipotecarios al día 31/03/2005
Clasificación por índice de referencia del tipo de interés,,,
Índice de referencia,Préstamos
%,Principal pendiente
(euros) %,%Margen *
s/índice
MIBOR/EURIBOR a 1 año,15.259 100,00,1.748.468.443,63 100,00,0,96
Total 15.259 100,00 1.748.468.443,63 100,00 0,96,,,
*Margen medio ponderado por el principal pendiente.,,,
