Flujos de caja por Bono con TACP del 14%
Constitución 12-feb-07 Bonos 1.200.000.000 Bonos 1er periodo Resto periodos
Desembolso 16-feb-07 Tramo A 1.117.800.000 Tramo A 4,033% 3,942%
1ª Fecha Pago 16-jul-07 Tramo B 58.200.000 Tramo B 4,223% 4,132%
Tramo C 24.000.000 Tramo C 4,523% 4,432%,,,,,
,Bonos del Tramo A,,Bonos del Tramo B,,Bonos del Tramo C
Fecha
Pago,Saldo Vivo Principal
al final periodo amortizado Intereses
100.000,00,,Saldo Vivo Principal
al final periodo amortizado Intereses
100.000,00,,Saldo Vivo Principal
al final periodo amortizado Intereses
15-oct-18 11.402,69 572,80 120,64 19.004,12 954,65 210,76 19.018,25 955,36 226,23
15-ene-19 10.854,93 547,76 114,87 18.091,20 912,92 200,68 18.104,65 913,60 215,41
15-abr-19 10.331,25 523,68 106,98 17.218,42 872,78 186,88 17.231,22 873,43 200,60
15-jul-19 9.830,61 500,64 102,95 16.384,03 834,38 179,84 16.396,22 835,00 193,04
9.352,11 478,49 99,03 15.586,56 797,48 173,01 15.598,15 798,07 185,71
15-oct-19 0,00 9.352,11 94,21 0,00 15.586,55 164,59 0,00 15.598,15 176,67
Totales 100.000,00 20.128,66 100.000,00 31.286,30 100.000,00 33.569,42,92.880,66 7.119,34 1.680,42
88.633,38 4.247,29 925,51
84.561,19 4.072,18 892,89
80.659,12 3.902,08 842,61
76.917,81 3.741,31 803,73
73.328,51 3.589,30 774,87
69.877,06 3.451,46 738,71
66.568,94 3.308,12 688,64
63.395,59 3.173,35 663,33
60.351,82 3.043,77 638,65
57.432,73 2.919,09 607,98
55.217,91 2.214,83 566,00
52.826,38 2.391,53 550,22
50.532,92 2.293,46 532,17
48.333,75 2.199,16 509,07
46.225,16 2.108,60 476,33
44.203,63 2.021,53 460,61
42.265,64 1.937,99 445,31
40.407,93 1.857,72 425,78
38.627,34 1.780,59 402,65
36.920,75 1.706,59 384,90
35.285,08 1.635,67 371,94
33.717,99 1.567,09 355,46
32.216,58 1.501,41 332,29
30.778,08 1.438,50 321,02
29.400,17 1.377,91 310,06
28.080,10 1.320,07 296,18
26.815,69 1.264,41 276,73
25.604,85 1.210,84 267,21
24.445,19 1.159,67 257,94
23.334,72 1.110,46 246,26
22.271,42 1.063,31 229,96
21.253,68 1.017,73 221,92
20.279,72 973,97 214,11
19.347,42 932,30 204,30
18.454,97 892,45 192,79
17.601,11 853,86 183,90
16.784,27 816,85 177,31
16.002,57 781,69 169,09
15.254,66 747,91 157,71
14.539,17 715,49 152,01
13.854,89 684,29 146,47
13.200,35 654,54 139,57
12.574,31 626,04 130,09
11.975,49 598,82 125,30
11.402,69 572,80 120,64
10.854,93 547,76 114,87
10.331,25 523,68 106,98
9.830,61 500,64 102,95
9.352,11 478,49 99,03
