,CALIFICACIÓN PROVISIONAL
STANDARD & POOR’S,CALIFICACIÓN PROVISIONAL
FITCH
Bonos del Tramo A,AAA,AAA
Bonos del Tramo B,A,A
Bonos del Tramo C,BBB,BBB
