Euribor,3 meses,5 meses
15-feb-06 2,597 2,676
15-mar-06 2,703 2,803
13-abr-06 2,765 2,852
15-may-06 2,884 3,006
15-jun-06 2,963 3,078
14-jul-06 3,092 3,209
15-ago-06 3,220 3,363
15-sep-06 3,335 3,491
13-oct-06 3,499 3,594
15-nov-06 3,595 3,695
15-dic-06 3,686 3,767
15-ene-07 3,746 3,838
31-ene-07 3,782 3,873,,
,,
Euribor 3 meses,,
31-ene-07 3,782,,
,,
Euribor 5 meses,,
31-ene-07 3,873,,
