ACTIVO 2006 2005
CAJA Y DEPÓSITOS EN BANCOS CENTRALES 210.857 147.299
CARTERA DE NEGOCIACIÓN 82.307 100.086
OTROS AC. FINANC. A VALOR RAZONABLE CON CAMBIOS EN PYG 201.431 200.200
ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA 1.244.852 1.147.402
INVERSIONES CREDITICIAS 14.864.789 12.395.902
CARTERA DE INVERSIÓN A VENCIMIENTO 810.917 497.327
AJUSTES A ACTIV. FINAN. POR MACROCOBERTURAS
DERIVADOS DE COBERTURA 22.897 47.871
ACTIVOS NO CORRIENTES EN VENTA 4.092 3.778
PARTICIPACIONES 245.179 146.869
CONTRATOS DE SEGUROS VINCULADOS A PENSIONES
ACTIVOS POR REASEGUROS
ACTIVO MATERIAL E INTANGIBLE 747.037 605.981
ACTIVOS FISCALES 155.763 65.684
OTROS ACTIVOS Y PERIODIFICACIONES 372.821 197.872
TOTAL ACTIVO 18.962.942 15.556.271
