PASIVO 2006 2005
CARTERA DE NEGOCIACIÓN 36.853 12.586
O. PASIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PYG
P. FINANC. A VALOR RAZONABLE CON CAMBIOS EN PATRIMONIO NETO
PASIVOS FINANC. A COSTE AMORTIZADO 16.013.619 12.943.177
AJUSTES A PASIVOS FINANCIEROS POR MACROCOBERTURAS
DERIVADOS DE COBERTURAS 40.277 1.841
PASIVOS ASOCIADOS CON ACTIVOS NO CORRIENTES EN VENTA
PASIVOS POR CONTRATOS DE SEGUROS
PROVISIONES 58.141 34.976
PASIVOS FISCALES 233.816 217.989
OTROS PASIVOS Y PERIODIFICACIONES 162.611 150.113
CAPITAL CON NATURALEZA DE PASIVO FINANCIERO
TOTAL PASIVO 16.545.317 13.360.682
PATRIMONIO NETO 2.195.589
INTERESES MINORITARIOS 319 954
AJUSTES POR VALORACION 368.116 298.126
FONDOS PROPIOS 2.049.190 1.896.509
TOTAL PATRIMONIO NETO 2.417.625 2.195.589
TOTAL PASIVO Y PATRIMONIO NETO 18.962.942 15.556.271
