Flujos de caja por Bono con TACP del 6%
Constitución 12-feb-07 Bonos 1.200.000.000 Bonos 1er periodo Resto periodos
Desembolso 16-feb-07 Tramo A 1.117.800.000 Tramo A 4,033% 3,942%
1ª Fecha Pago 16-jul-07 Tramo B 58.200.000 Tramo B 4,223% 4,132%
Tramo C 24.000.000 Tramo C 4,523% 4,432%,,,,,
,Bonos del Tramo A,,Bonos del Tramo B,,Bonos del Tramo C
Fecha
Pago,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses,,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses,,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses
15-jul-18 32.997,00 888,04 337,65 54.993,95 1.480,04 589,86 55.034,86 1.481,14 633,16
15-oct-18 32.125,20 871,81 332,41 53.540,96 1.452,99 580,71 53.580,79 1.454,07 623,34
15-ene-19 31.269,62 855,58 323,63 52.115,03 1.425,93 565,37 52.153,80 1.426,99 606,87
15-abr-19 30.430,27 839,36 308,16 50.716,13 1.398,90 538,35 50.753,86 1.399,94 577,86
15-jul-19 29.606,74 823,53 303,22 49.343,62 1.372,52 529,72 49.380,32 1.373,54 568,60
15-oct-19 28.798,99 807,75 298,26 47.997,39 1.346,23 521,05 48.033,09 1.347,23 559,29
15-ene-20 28.006,92 792,07 290,12 46.677,30 1.320,08 506,83 46.712,03 1.321,07 544,03
15-abr-20 27.230,36 776,57 279,08 45.383,05 1.294,25 487,53 45.416,81 1.295,21 523,32
15-jul-20 26.469,02 761,34 271,34 44.114,17 1.268,88 474,02 44.146,99 1.269,82 508,81
15-oct-20 25.723,18 745,84 266,65 42.871,13 1.243,04 465,83 42.903,02 1.243,97 500,02
15-ene-21 24.992,49 730,69 259,14 41.653,34 1.217,79 452,70 41.684,32 1.218,70 485,93
15-abr-21 24.276,77 715,72 246,30 40.460,49 1.192,85 430,28 40.490,59 1.193,73 461,86
15-jul-21 23.575,50 701,26 241,91 39.291,74 1.168,75 422,60 39.320,97 1.169,62 453,62
15-oct-21 22.888,49 687,01 237,50 38.146,75 1.145,00 414,90 38.175,12 1.145,85 445,36
15-ene-22 22.214,98 673,52 230,58 37.024,24 1.122,50 402,81 37.051,79 1.123,34 432,38
15-abr-22 21.555,01 659,97 218,93 35.924,32 1.099,93 382,46 35.951,04 1.100,75 410,53
15-jul-22 20.908,11 646,89 214,79 34.846,18 1.078,13 375,22 34.872,11 1.078,94 402,76
15-oct-22 20.274,00 634,11 210,63 33.789,35 1.056,83 367,96 33.814,49 1.057,62 394,97
15-ene-23 19.652,51 621,50 204,24 32.753,55 1.035,81 356,80 32.777,91 1.036,58 382,99
15-abr-23 19.043,37 609,14 193,68 31.738,33 1.015,22 338,34 31.761,94 1.015,97 363,18
