Cartera de préstamos hipotecarios al día 03.01.2005
Clasificación por principal pendiente de vencer,,
Intervalo de principal pendiente
(en euros),Préstamos
Nº. %,Principal pendiente
(euros) %
0,00 - 14.999,99,143 1,85,1.700.723,00 0,21
15.000,00 - 29.999,99,403 5,21,9.224.777,62 1,16
30.000,00 - 44.999,99,596 7,71,22.515.666,17 2,84
45.000,00 - 59.999,99,882 11,40,46.575.935,93 5,87
60.000,00 - 74.999,99,915 11,83,62.075.032,98 7,82
75.000,00 - 89.999,99,979 12,66,80.535.203,36 10,14
90.000,00 - 104.999,99,792 10,24,77.221.063,00 9,73
105.000,00 - 119.999,99,731 9,45,82.503.914,99 10,39
120.000,00 - 134.999,99,503 6,50,64.111.419,70 8,08
135.000,00 - 149.999,99,501 6,48,71.258.801,74 8,98
,284 3,67,44.599.743,71 5,62
