Cartera de préstamos hipotecarios al día 03.01.2005
Clasificación por índice de referencia del tipo de interés,,,
Índice de referencia,Préstamos
%,Principal pendiente
(euros) %,%Margen *
s/índice
EURIBOR a 1 año
MIBOR a 1 año,2.043 99,85
3 0,15,316.290.581,31 99,94
199.543,36 0,06,0,586
0,637
Total 2.046 100,00 316.490.124,67 100,00,,,
*Margen medio ponderado por el principal pendiente.,,,
