Cartera de préstamos hipotecarios al día 03.01.2005
Clasificación por índice de referencia del tipo de interés,,,
Índice de referencia,Préstamos
%,Principal pendiente
(euros) %,%Margen *
s/índice
EURIBOR a 1 año
MIBOR a 1 año,7.729 99,92
6 0,08,793.494.043,25 99,96
355.127,11 0,04,0,600
0,796
Total Cartera 7.735 100,00 793.849.170,36 100,00,,,
*Margen medio ponderado por el principal pendiente.,,,
