,COBROS
Saldo Saldo Fecha
Fondo Vivo
Reserva "T" CTH's,Principal Intereses Redución de Intereses Reducción Total
Amortizado Netos CTH's y la Cuenta de Reinversión Fondo
CTH's Permuta "T" Amortización "T" Reserva "T"
(1) (2) (3),(4) (5) (6) (7) (8) (9)
TOTALES:,290.000.000,00 52.492.826,82 39.648.737,95 3.330.943,50 7.830.000,00 393.302.508,27
7.830.000,00 285.224.181,50 18-abr-2005
7.830.000,00 276.129.391,77 18-jul-2005
7.830.000,00 267.225.444,25 17-oct-2005
7.830.000,00 258.586.990,8816-ene-2006
7.830.000,00 250.351.262,05 17-abr-2006
7.830.000,00 242.285.681,06 17-jul-2006
7.830.000,00 234.390.590,77 16-oct-2006
7.830.000,00 226.732.121,9316-ene-2007
7.830.000,00 219.430.482,50 16-abr-2007
7.830.000,00 212.282.441,69 16-jul-2007
7.830.000,00 205.287.967,42 16-oct-2007
7.830.000,00 198.504.355,7316-ene-2008
7.830.000,00 191.981.077,47 16-abr-2008
7.830.000,00 185.653.061,70 16-jul-2008
7.830.000,00 179.462.774,54 16-oct-2008
7.830.000,00 173.460.225,0916-ene-2009
7.830.000,00 167.737.059,57 16-abr-2009
7.830.000,00 162.137.558,18 16-jul-2009
7.830.000,00 156.661.611,56 16-oct-2009
7.830.000,00 151.352.794,9518-ene-2010
7.830.000,00 146.290.925,29 16-abr-2010
7.632.361,07 141.340.019,74 16-jul-2010
7.370.996,41 136.499.933,50 18-oct-2010
7.117.662,91 131.808.572,4617-ene-2011
6.876.107,37 127.335.321,60 18-abr-2011
6.639.927,26 122.961.616,01 18-jul-2011
6.409.113,26 118.687.282,64 17-oct-2011
6.185.443,95 114.545.258,3716-ene-2012
5.970.436,77 110.563.643,91 16-abr-2012
5.762.042,40 106.704.488,97 16-jul-2012
5.558.458,06 102.934.408,52 16-oct-2012
5.361.222,45 99.281.897,1716-ene-2013
5.173.145,06 95.798.982,55 16-abr-2013
4.989.433,67 92.396.919,89 16-jul-2013
4.810.127,03 89.076.426,46 16-oct-2013
4.636.466,77 85.860.495,7216-ene-2014
4.470.920,24 82.794.819,22 16-abr-2014
4.309.243,99 79.800.814,60 16-jul-2014
4.151.425,75 76.878.254,71 16-oct-2014
3.998.609,57 74.048.325,4616-ene-2015
3.915.000,00 71.349.617,82 16-abr-2015
3.915.000,00 68.715.182,00 16-jul-2015
3.915.000,00 66.144.924,63 16-oct-2015
3.915.000,00 63.657.460,9518-ene-2016
3.915.000,00 61.267.657,10 18-abr-2016
3.915.000,00 58.954.522,20 18-jul-2016
3.915.000,00 56.698.860,57 17-oct-2016
3.915.000,00 54.516.575,4416-ene-2017
3.915.000,00 52.435.703,21 17-abr-2017
3.915.000,00 50.406.877,42 17-jul-2017
3.915.000,00 48.430.449,36 16-oct-2017
3.915.000,00 46.518.920,3816-ene-2018
3.915.000,00 44.695.800,33 16-abr-2018
3.915.000,00 42.918.947,26 16-jul-2018
3.915.000,00 41.190.243,06 16-oct-2018
3.915.000,00 39.522.305,8016-ene-2019
3.915.000,00 37.933.231,75 16-abr-2019
0,00 0,00 16-jul-2019,4.775.818,50 1.349.492,46 0,00 38.895,66 0,00 6.164.206,62
9.094.789,73 1.997.374,57 0,00 100.478,55 0,00 11.192.642,85
8.903.947,52 1.933.535,22 0,00 148.532,57 0,00 10.986.015,31
8.638.453,37 1.871.204,62 0,00 195.295,29 0,00 10.704.953,28
8.235.728,83 1.810.849,09 0,00 240.998,48 0,00 10.287.576,39
8.065.580,99 1.753.076,19 39.648.737,95 285.200,71 0,00 49.752.595,84
7.895.090,29 1.696.462,63 0,00 69.235,83 0,00 9.660.788,75
7.658.468,84 1.659.230,39 0,00 68.950,08 0,00 9.386.649,32
7.301.639,43 1.570.239,44 0,00 66.499,84 0,00 8.938.378,71
7.148.040,81 1.536.468,89 0,00 66.587,08 0,00 8.751.096,78
6.994.474,27 1.502.631,98 0,00 66.597,32 0,00 8.563.703,56
6.783.611,69 1.453.132,07 0,00 65.928,59 0,00 8.302.672,35
6.523.278,26 1.389.880,48 0,00 64.437,37 0,00 7.977.596,11
6.328.015,77 1.344.185,62 0,00 63.771,80 0,00 7.735.973,18
6.190.287,16 1.314.056,74 0,00 63.828,32 0,00 7.568.172,22
6.002.549,44 1.270.248,95 0,00 63.234,08 0,00 7.336.032,48
5.723.165,52 1.201.156,37 0,00 61.114,05 0,00 6.985.435,94
5.599.501,40 1.174.360,73 0,00 61.273,44 0,00 6.835.135,57
5.475.946,62 1.147.536,96 0,00 61.371,35 0,00 6.684.854,92
5.308.816,61 1.132.889,30 0,00 62.541,34 0,00 6.504.247,25
5.061.869,66 1.024.707,60 0,00 57.929,12 0,00 6.144.506,39
4.950.905,55 1.024.138,97 0,00 59.051,86 197.638,93 6.231.735,32
4.840.086,23 1.022.013,27 0,00 59.709,53 261.364,66 6.183.173,69
4.691.361,04 955.517,02 0,00 56.101,77 253.333,50 5.956.313,33
4.473.250,86 922.738,60 0,00 54.109,94 241.555,55 5.691.654,95
4.373.705,59 891.366,70 0,00 52.536,61 236.180,10 5.553.789,01
4.274.333,37 860.675,94 0,00 50.636,75 230.814,00 5.416.460,06
4.142.024,27 830.757,98 0,00 48.663,45 223.669,31 5.245.115,01
3.981.614,46 801.782,86 0,00 46.822,35 215.007,18 5.045.226,85
3.859.154,94 773.895,63 0,00 45.241,74 208.394,37 4.886.686,68
3.770.080,45 755.024,11 0,00 44.188,06 203.584,34 4.772.876,97
3.652.511,35 728.346,33 0,00 42.704,07 197.235,61 4.620.797,37
3.482.914,62 687.272,92 0,00 40.265,34 188.077,39 4.398.530,27
3.402.062,66 670.486,07 0,00 39.363,24 183.711,38 4.295.623,35
3.320.493,43 653.724,53 0,00 38.418,84 179.306,65 4.191.943,45
3.215.930,74 630.229,10 0,00 37.109,20 173.660,26 4.056.929,31
3.065.676,50 594.306,57 0,00 34.969,86 165.546,53 3.860.499,46
2.994.004,62 579.413,43 0,00 34.168,12 161.676,25 3.769.262,42
2.922.559,89 564.544,92 0,00 33.333,07 157.818,23 3.678.256,11
2.829.929,25 543.865,54 0,00 32.179,58 152.816,18 3.558.790,55
2.698.707,64 512.486,65 0,00 30.309,96 83.609,57 3.325.113,83
2.634.435,82 499.258,87 0,00 29.932,41 0,00 3.163.627,09
2.570.257,37 486.061,47 0,00 29.971,76 0,00 3.086.290,60
2.487.463,68 478.047,32 0,00 30.533,31 0,00 2.996.044,31
2.389.803,85 445.391,23 0,00 29.439,23 0,00 2.864.634,31
2.313.134,91 428.656,23 0,00 29.170,74 0,00 2.770.961,87
2.255.661,63 412.431,07 0,00 28.828,13 0,00 2.696.920,83
2.182.285,13 396.645,48 0,00 28.442,21 0,00 2.607.372,82
2.080.872,22 381.397,96 0,00 28.160,30 0,00 2.490.430,49
2.028.825,79 366.810,56 0,00 28.023,59 0,00 2.423.659,94
1.976.428,06 352.581,75 0,00 27.722,20 0,00 2.356.732,01
1.911.528,98 342.473,68 0,00 27.754,27 0,00 2.281.756,92
1.823.120,06 321.819,09 0,00 26.914,00 0,00 2.171.853,15
1.776.853,07 312.615,05 0,00 27.028,91 0,00 2.116.497,03
1.728.704,20 303.454,21 0,00 27.117,31 0,00 2.059.275,73
1.667.937,25 291.228,41 0,00 26.930,62 0,00 1.986.096,28
1.589.074,06 273.372,86 0,00 26.134,13 0,00 1.888.581,05
37.933.231,75 265.274,12 0,00 26.256,17 3.915.000,00 42.139.762,04
