Cartera de préstamos hipotecarios al día 03.01.2005
Clasificación por principal pendiente de vencer,,
Intervalo de principal pendiente
(en euros),Préstamos
Nº. %,Principal pendiente
(euros) %
870.000,00 - 884.999,99,1 0,05,877.485,86 0,28
Total 2.046 100,00 316.490.124,67 100,00,,
Principal medio: 154.687,26
Principal mínimo: 17.667,27
Principal máximo: 877.485,86,,
