Cartera de préstamos hipotecarios al día 03.01.2005
Clasificación por tipos de interés nominales,,,,,,
Intervalo % Tipo Interés,Préstamos
%,,Principal pendiente
(euros) %,,%Tipo
interés*,
2,00 - 2,49,4 0,20,,965.576,08 0,31,,2,434,
2,50 - 2,99,1.491 72,87,,241.058.944,88 76,17,,2,819,
3,00 - 3,49,548 26,78,,74.255.950,89 23,46,,3,078,
3,50 - 3,99,2 0,10,,179.098,87 0,06,,3,680,
4,00 - 4,49,1 0,05,,30.553,95 0,01,,4,170,
Total Cartera 2.046 100,00 316.490.124,67 100,00,,,,,,
Media ponderada: 2,879
Media simple: 2,895
Mínimo: 2,320
Máximo: 4,170
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,,,,,,
,Media ponderada:,,,,2,879,
,Media simple:,,,,2,895,
,Mínimo:,,,,2,320,
,Máximo:,,,,4,170,
