,,,,Fitch,,,,,,Moody’s,,,,
,,,,Calificación,,,Fecha*,,,Calificación,,,Fecha*,
,Corto Plazo,,F1 diciembre
2008
A,,,,,,P-1 junio 2009 (en
revisión)
A1,,,,,
,Largo Plazo,,,,,,,,,,,,,
