,BonosSerieB,,
Vidamedia(años),19,20,18,19,17,19
TIR,0,732%,0,732%,0,732%
Duración(años),17,81,16,93,16,06
Vencimientofinal,15102032,15102031,15102030
(enaños),19,24,18,23,17,23
