,,,,,,,,,,31.12.2011,,,(A-B)/(B),
,,,,,,,,,,,,,,
,BALANCE(milesdeeuros),,,,,,,,,,,,,
,,,,,,,,,1.228.770,,,-2,00,,
,,,,,,,,,,899.516,,,2,40,
,,,,,,,,,,894.734,,,0,92,
,,,,,,,,,,191.276,,,12,13,
,,,,,,,,,,1.086.010,,,2,89,
,,,,,,,,,,104.290,,,3,89,
,,,,,,,,,,103.841,,,2,72,
,,,,,,,,,,,,,,
,CUENTADERESULTADOS(milesdeeuros),,,,,,,,,,,,,
,,,,,,,,,17.860,,,,20,09,
,,,,,,,,,,27.950,,,-0,05,
,,,,,,,,,,4.582,,,-310,06,
,,,,,,,,,,2.844,,,-521,06,
,,,,,,,,,17.860,,,20,09,,
,,,,,,,,,,17.860,,,20,09,
,,,,,,,,,,,,,,
,RATIOSRELEVANTES(%),,,,,,,,,,,,,
,,,,,,,,,0,72,,,,,
,,,,,,,,,,3,29,,,,
,,,,,,,,,,0,25,,,,
,,,,,,,,,0,41,,,,,
,,,,,,,,,,0,41,,,,
,,,,,,,,,,63,23,,,,
,,,,,,,,,,68,11,,,,
,,,,,,,,,,4,27,,,,
,,,,,,,,,0,53,,,,,
,,,,,,,,,,0,53,,,,
,,,,,,,,,,78,21,,,,
,,,,,,,,,,,,,,
,RATIOSDECAPITAL(%),,,,,,,,,,,,,
,,,,,,,,,11,70,,,,,
,,,,,,,,,,13,00,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,INFORMACIÓNADICIONAL,,,,,,,,,,,,,
,,,,,,,,,207,,,,,
,,,,,,,,,,53,,,,
