,Nombre,,,Cargo en sociedades cotizadas y/o relevantes,
D. Francisco Javier Soriano Arosa,,,Consejero Delegado de EBN Banco de Negocios, S.A.,,
,,,Presidente del Consejo de EBN Capital, S.G.C.R., S.A.,,
,,,Vocal del Consejo de Cartera Nuvalia, S.L.,,
,,,Vocal del Consejo de Planiger, S.A.,,
,,,Presidente del Consejo de Campus Patrimonial, S.A.,,
,,,Vocal del Consejo de Grupo Hoteles Playa, S.A.,,
D. Vicente Palacios Martínez,,,Director de financiación mayorista y control de Caja de Ahorros Municipal
de Burgos.,,
D. Francisco Javier Sáiz,,,Vocal del Consejo de Ahorro Corporación Gestión, S.G.I.I.C., S.A.,,
,,,Vocal del Consejo de Analistas Financieros Internacionales, S.A.,,
,,,Vocal del Consejo de Exportalia, S.L.,,
,,,Subdirector General de Riesgos y Operaciones de Caja de Ahorros de
Castilla La Mancha,,
D. Víctor Iglesias Ruiz,,,Subdirector General y Director de la red de Oficinas de IBERCAJA.,,
,,,Vocal del Consejo de IBERCAJA Leasing y Financiación, S.A. EFC.,,
,,,Vocal del Consejo del Heraldo de Aragón, S.A.,,
,,,Vocal del Consejo de Gestión de Activos de Aragón, S.A.,,
D. Juan Luis Sabater Navarro,,,Director de Financiación y Gestión de Liquidez de Caja de Ahorros del
Mediterráneo (CAM),,
D. Gumersindo Ruiz Bravo de
Mansilla,,,Consejero Delegado y Director General de Unicorp Corporación Financiera.,,
,,,Vicepresidente de Unicorp Vida,,
,,,Presidente de Unigest,,
,,,Co-presidente de Segurándalus,,
,,,Presidente de Unicorp Patrimonio,,
,,,Presidente de Unicorp Mercados,,
,,,Vicepresidente de Carisa,,
D. José Carlos Contreras Gómez,,,Subdirector General, Director de Finanzas Corporativas de Caja de Ahorros
y Monte de Piedad de Madrid.,,
,,,Vocal del Consejo de Banco Inversis,,
,,,Vocal del Consejo de Corporación Interamericana de Financiamiento de
Infraestructuras.,,
D. Jesús Río Cortés,,,Responsable de Titulización (Client Banking) para Europa de Bear Stearns
International Limited.,,
