,,,,Serie B,,Serie C,,Serie D,,Serie E
,,,Serie A,,Serie B,,Serie C,,Serie D,
,Tipo de Interés,5,267%,,5,567%,,6,167%,,6,967%,,8,467%
,Nominal,,,,,,,,,
