Recursos Propios,,,
,31/12/2005,31/12/2006,31/12/2007
(miles de euros),,,
,,,
Capital,903,00,903,00,903,00
Reservas,,,
Reserva Legal,180,60,180,60,180,60
Reservas Voluntarias,1.899,19,2.461,71,3.142,06
Perdidas y Ganancias,,,
Beneficio ejercicio,1.511,40,1.825,34,2.979,13
TOTAL,4.494,19,5.370,65,7.204,79
