,Gastos de Constitución,,,Euros,
Tasas CNMV (Registro),,,39.813,66,,
Tasas verificación Bolsa de Barcelona,,,18.180,,
Tasas admisión negociación Bolsa de Barcelona,,,2.910,,
Tasas SCLBARNA,,,2.900,,
Auditoría, Agencias de calificación, Comisión inicial de la
Sociedad Gestora, Asesoramiento Legal y Otros (notaría,
imprenta, etc),,,388.196,34,,
,TOTAL GENERAL,,,452.000,00,
