% TAA:,6 %,,,9 %,,12 %
,Bonos Serie C,,,,,
Vida media (años),6,61,,5,76,,,5,24
TIR,4,372%,,4,372%,,,4,372%
Duración (años),5,42,,4,82,,,4,46
Fecha de Liquidación Anticipada,28/06/2017,,28/03/2016,,,29/12/2014
del Fondo al 10%,,,,,,
