% TAA:,6 %,,,9 %,,12 %
,Bonos Serie A3(CA),,,,,
Vida media (años),10,53,,9,28,,,8,03
TIR,3,766%,,3,766%,,,3,766%
Duración (años),8,45,,7,61,,,6,73
Fecha de Liquidación Anticipada,28/06/2017,,28/03/2016,,,29/12/2014
del Fondo al 10%,,,,,,
