% TAA:,6 %,,,9 %,,12 %
,Bonos Serie A2,,,,,
Vida media (años),3,83,,3,35,,,2,95
TIR,3,892%,,3,892%,,,3,892%
Duración (años),3,35,,2,97,,,2,65
Fecha de Liquidación Anticipada,28/06/2017,,28/03/2016,,,29/12/2014
del Fondo al 10%,,,,,,
