% TAA:,6 %,,,9 %,,12 %
,Bonos Serie A1,,,,,
Vida media (años),0,61,,0,58,,,0,54
TIR,3,802%,,3,802%,,,3,802%
Duración (años),0,59,,0,55,,,0,51
Fecha de Liquidación Anticipada,28/06/2017,,28/03/2016,,,29/12/2014
del Fondo al 10%,,,,,,
