,Own shares,,,31/12/2003,,,31/12/2004,
Capital,,,903,000,,,903,000,,
Reserves,,,,,,,,
Legal Reserve,,,180,600.00,,,180,600.00,,
Voluntary Reserves,,,1,107,137.92,,,1,426,151.51,,
Profit and Loss,,,,,,,,
Profit for the year,,,859,013.59,,,1,273,036.01,,
TOTAL,,,3,039,751.51,,,3,782,787.52,,
