Ratings assigned by,,Meaning
Moody’s,Fitch,
P-1,F-1,Highest capacity of repayment for debt
commitments in a timely manner, with
respect to issues of less than one year.
P-2,F-2,Strong capacity of repayment for debt
commitments in a timely manner with
respect to issues of less than one year.
P-3,F-3,Acceptable capacity for repayment of debt
commitments satisfactorily, issued at a
term of under one year.
No Prime,B,Do not have the characteristics of any of
the above categories..
---,C,This rating is assigned to short term debt
