Info,,
,,
,AUDITED PORTFOLIO, TDA CAM 5 ISSUE
(Grouped by current balance),
,,
,WEIGHTED WEIGHTED Min. Max.
CURRENT WEIGHTED
CURRENT BALANCE TOTAL CURRENT AVERAGE AVERAGE AVERAGE CURRENT CURRENT CURRENT
NUM BALANCE AVERAGE INITIAL
EUROS BALANCE EUROS REMAINING CURRENT BALANCE EUROS INTEREST INTEREST
% TERM (months)
TERM (months) INTEREST RATE RATE RATE,
,0,00 - 15.000,00 149 52,961.97 0.00 232 216 3.560 11,526.49 2.693 4.074
15.000,00 - 30.000,00 88 2,402,701.83 0.10 210 175 3.450 27,689.14 2.753 4.195
30.000,00 - 45.000,00 1505 57,035,879.01 2.30 245 214 3.450 38,362.32 2.593 5.900
45.000,00 - 60.000,00 2323 123,360,242.64 4.97 272 247 3.380 53,474.56 2.553 5.750
60.000,00 - 75.000,00 2907 197,389,644.75 7.96 297 274 3.330 68,153.01 2.250 4.500
75.000,00 - 90.000,00 3264 270,400,845.37 10.90 316 294 3.290 83,071.98 2.250 4.424
90.000,00 - 105.000,00 2784 270,530,037.64 10.91 324 303 3.290 97,351.24 2.500 4.436
105.000,00 - 120.000,00 2620 294,608,806.57 11.88 332 311 3.260 112,615.93 1.850 4.417
120.000,00 - 135.000,00 1954 248,652,741.98 10.02 338 318 3.240 127,403.58 2.250 4.250
135.000,00 - 150.000,00 1882 268,058,470.28 10.81 342 322 3.220 142,560.53 2.300 4.941
150.000,00 - 165.000,00 1337 209,750,191.91 8.46 348 330 3.210 156,997.36 2.500 4.419
165.000,00 - 180.000,00 1128 194,504,175.52 7.84 346 330 3.200 172,535.97 2.500 4.172
180.000,00 - 195.000,00 700 131,008,027.51 5.28 346 330 3.150 187,256.81 2.400 4.500
195.000,00 - 210.000,00 519 104,798,914.51 4.22 344 328 3.140 202,011.04 2.500 4.265
210.000,00 - 225.000,00 289 62,656,686.33 2.53 344 328 3.080 216,890.10 2.500 4.169
225.000,00 - 240.000,00 196 45,341,157.89 1.83 342 325 3.090 231,390.01 2.500 3.965,
,TOTAL 23,645 2 ,480,551,485.71 100 327 307 3.250 125,152.86 1.850 5.900,
64,,
