Ratings assigned by,,Meaning
Moody’s,Fitch,
Aaa,AAA,Interest payments are covered by a wide or
exceptionally stable margin and
possibilities of collection of the principal
are certain.
Aa,AA,The fluctuation in the protection elements
may or may not be greater, or there may
not exist other elements that lead to the
perception the long-term risk is higher that
that of rated securities.
A,A,Strong rating as investment instruments
and must be considered as medium-high
quality securities. The factors
guaranteeing collection of capital and
interest are sufficient, but there may be
elements that suggest a possible
