% TACP:,5%,,10%,,15%
,Series A Bonds,,,,
Average life (years),8.65,,5.10,,4.42
IRR,2.307%,,2.307%,,2.07%
Term,7.36,,4.58,,4.01
Fund Early Liquidation Date,28/07/2025,,26/07/2018,,26/10/2016
,,,,,
