,ASSETS,,,Euros,,,LIABILITIES,,,Euros,
Initial expenses activated,,,1,637,500,,,,,,,,
Shares and Certificates*,,,2,000,000,000,,,Series A Bonds,,,1,944,000,000,,
,,,,,,Series B Bonds,,,56,000,000,,
Cash and Banks,,,,,,,,,,,
