% TACP:,5%,,12.5%,,15%
,Series B Bonds,,,,
Average life (years),19.82,,12.81,,11.07
IRR,2.524%,,2.524%,,2.524%
Term,15.31,,10.73,,9.46
Fund Early Liquidation Date,28/07/2025,,26/07/2018,,26/10/2016
,,,,,
