,Underwriter,,,Nominal amount,,,,
,,,Class A1 Notes,,Class A2 Notes,Class B Notes,Class C Notes,
Barclays Bank PLC,
acting through its
investment banking
division Barclays Capital,,,308,000,000 €,,1,018,450,000 €,22,400,000 €,21,150,000 €,
Caixa d'Estalvis i Pensions
de Barcelona,,,-,,10,000,000 €,-,-,
Caixa d´Estalvis de
Catalunya,,,-,,10,000,000 €,-,-,
Fortis Bank NV-SA,,,,,10,000,000 €,,,
TOTAL,,,308,000,000 €,,1,048,450,000 €,22,400,000 €,21,150,000 €,
