,,,,Euros,
,Incorporation expenses,,,,
CNMV Fee (issue/ admittance),,,48,033.00,,
AIAF Fee,,,52,200.00,,
Sociedad de Gestión de los Sistemas de Registro,
Compensación y Liquidación de valores, S.A. Fee,,,2,900.00,,
Rating Agencies, legal advisers and auditors,
notarial expenses and publications, initial fee of the
Managing Company and others,,,1,406,182.07,,
,Subtotal,,,1,509,315.07,
,Issue and placement expenses,,,,
Arrangement fee,,,140,000.00,,
Underwriting and placement fee,,,1,400,000.00,,
