BALANCE SHEET,
ASSETS,LIABILITIES
Mortgage Participations €900,000,000
Cash Account €10,550,541.60
Incorporation and Issue
Expenses €674,458.40,Class A Bonds €867,200,000
Class B Bonds €9,000,000
Class C Bonds €23,800,000
Subordinated Loan €11,225,000
Total Assets €911,225,000,Total Liabilities €911,225,000
