MORTGAGE LOANS,,,,
% LTV,T= 18
MONTHS,T= 24
MONTHS,T= 36
MONTHS,T= 48
MONTHS
80% - 60%,ML x 50%,ML x 75%,ML x 100%,ML x 100%
