,Largo plazo,,,Corto plazo
,,,,
nóisrevni
ed
odarG,AAA,,,
,AA +,,,
,AA,,,A–1+
,AA-,,,
,A +,,,
,A,,,A–1
,A-,,,
,BBB +,,,A-2
,BBB,,,A-3
,BBB-,,,
ovitalucepse
odarG,BB +,,,
,BB,,,B
,BB-,,,
,B +,,,
,B,,,
,B-,,,C
,CCC +,,,
,CCC,,,
,CCC-,,,
,CC,,,
,C,,,D
,D,,,
,,,,
