Entidades Aseguradoras,,Bonos,,,Bonos,,,Bonos,,,Bonos,
,,Serie A,,,Serie B,,,Serie C,,,Serie D,
BANCO SANTANDER
CENTRAL HISPANO,382,2,,,32,9,,,56,5,,,10,8,,
BANCO PASTOR, S.A.,10,,,0,,,0,,,0,,
CAJA DE AHORROS DEL
MEDITERRÁNEO,10,,,0,,,0,,,0,,
Total,402,2,,,32,9,,,56,5,,,10,8,,
