RETRASOS EN EL PAGO DE LAS CUOTAS
Préstamos
Asociados con
Intervalo Principal pendiente
Hipoteca de
Segundo Rango
(días) (en euros) % nº %
0 6.771.057,95 99,53% 151 99,34%
30 31.843,13 0,47% 1 0,66%
Totales: 6.802.901,08 100,00% 152 100,00%
