RETRASOS EN EL PAGO DE LAS CUOTAS
Principal pendiente del Préstamos
Intervalo
Préstamo Hipotecarios
(días) (en euros) % nº %
0 1.330.498.240,55 95,54% 9.972 94,95%
30 62.088.957,88 4,46% 530 5,05%
Totales: 1.392.587.198,43 100,00% 10502 100,00%
