,SEG. CREDITO,IMPORTE,% IMPORTE,Nº,% Nº
PRÉSTAMOS HIPOTECARIOS
TOTAL PH,No
Sí,1.077.810.634,78
314.776.563,65
1.392.587.198,43,77,4%
22,6%,7.708
2.794
10.502,73,4%
26,6%
PRESTAMOS ASOCIADOS NO
HIPOTECARIOS
TOTAL PANH,No
Sí,25.078.877,70
54.808.254,91
79.887.132,61,31,4%
68,6%,1.048
2.692
3.740,28,0%
72,0%
PRÉSTAMOS ASOCIADOS CON
HIPOTECA DE SEGUNDO RANGO
TOTAL PAH2R,No
Sí,3.595.177,30
3.207.723,78
6.802.901,08,52,9%
47,2%,75
77
152,49,3%
50,7%
