RELACIÓN ENTRE PRINCIPAL PENDIENTE Y VALOR DE TASACIÓN
Préstamos
Asociados con
Intervalo Principal pendiente
Hipoteca de
Segundo Rango
(%) (en euros) % nº %
5,71 - 9,99 90.350,94 1,33% 7 4,61%
10,00 - 19,99 1.774.077,98 26,08% 47 30,92%
20,00 - 29,99 4.641.562,54 68,23% 93 61,18%
30,00 - 38,40 296.909,62 4,36% 5 3,29%
Totales: 6.802.901,08 100,00% 152 100,00%
